,Date,User,Tweet,num_of_likes,num_of_retweet,CleanTweet,Subjectivity,Polarity,Score
0,2022-11-27 22:46:50+00:00,Aylaazari,"@Thegrey8 I must be a ballon. 

😻",1,0,i must be ballon,0.0,0.0,Neutral
1,2022-11-27 09:40:11+00:00,Aylaazari,@Dreamcastzzz @AttaBoi_Westy I’m crying 🤣 cos it would  probably happen,1,0,i m crying cos it would probably happen,0.6,-0.2,Negative
3,2022-11-26 00:55:21+00:00,Aylaazari,@feyiszn Omo,0,0,omo,0.0,0.0,Neutral
4,2022-11-26 00:19:57+00:00,Aylaazari,@ZamirLX Money sha. 🤦🏽‍♀️ tufia…,0,0,money sha tufia,0.0,0.0,Neutral
5,2022-11-26 00:18:25+00:00,Aylaazari,"@Jaydon225 Gbas gbos. I love the words you are using Lemao. Petulant, intolerant 👏🏾 🤣 https://t.co/RIQX49K4sd",0,0,gbas gbos i love words you are using lemao petulant intolerant,0.6,0.5,Positive
6,2022-11-26 00:15:39+00:00,Aylaazari,"@ZamirLX Under the tweets, the replies are ohh Elon, make a new one iPhone and android Ade bla bla. Everyone really thinks his hand is gold and anything he touches would go big. That’s the saviour complex.",0,0,under tweets replies are ohh elon make new one iphone android ade bla bla everyone really thinks his hand is gold anything he touches would go big that s saviour complex,0.28863636363636364,0.009090909090909094,Positive
7,2022-11-26 00:06:07+00:00,Aylaazari,@ZamirLX Saviour complex.,0,0,saviour complex,0.4,-0.3,Negative
8,2022-11-26 00:04:41+00:00,Aylaazari,Thank you for demonstrating… https://t.co/SKYWGrA57X,0,0,thank you demonstrating,0.0,0.0,Neutral
9,2022-11-25 23:08:32+00:00,Aylaazari,Very disgusting. https://t.co/fdmvr22ZH2,1,0,very disgusting,1.0,-1.0,Negative
10,2022-11-25 19:13:40+00:00,Aylaazari,@Jaydon225 Ofcos,0,0,ofcos,0.0,0.0,Neutral
11,2022-11-25 19:11:41+00:00,Aylaazari,@Gurulaima @Jaydon225 😂 you need Jesus,1,0,you need jesus,0.0,0.0,Neutral
12,2022-11-25 17:29:18+00:00,Aylaazari,"@Cyndi_Carson Haha. Okay Mama Cyndi… 
It would apply to most things then. But that’s fair. 
It’s the game of capitalism sha.",1,0,haha okay mama cyndi it would apply most things then but that s fair it s game capitalism sha,0.52,0.3,Positive
13,2022-11-25 17:17:00+00:00,Aylaazari,"@Cyndi_Carson I don’t know much about economics but are you there ethical caps on what  profit margin is or should be? 
Always thought it was arbitrary 🤔 

I mean companies like LV and the likes have one of the most ridiculous margins should they be called thieves too? 

Just asking… xoxo",0,0,i don t know much about economics but are you there ethical caps what profit margin is or should be always thought it was arbitrary i mean companies like lv likes have one most ridiculous margins should they be called thieves too just asking xoxo,0.5979166666666667,0.025694444444444454,Positive
14,2022-11-25 16:19:36+00:00,Aylaazari,This is a lot tho… https://t.co/6hkIzlABvr,0,0,this is lot tho,0.0,0.0,Neutral
15,2022-11-25 07:44:21+00:00,Aylaazari,@Johnjesse___ @Don_TEE Very sad,0,0,very sad,1.0,-0.65,Negative
16,2022-11-25 00:18:22+00:00,Aylaazari,@boyegataiwo_ Eiii God when,1,0,eiii god when,0.0,0.0,Neutral
17,2022-11-24 20:11:54+00:00,Aylaazari,@chiderapeters_ Congratulations 🎉 Dera. So happy for you,1,0,congratulations dera so happy you,1.0,0.8,Positive
18,2022-11-23 13:46:38+00:00,Aylaazari,@Claws_byzee @MetroUK Omo,0,0,omo,0.0,0.0,Neutral
19,2022-11-23 10:23:18+00:00,Aylaazari,@mikolee_jr @Sordique4K @instablog9ja After you 😂,0,0,after you,0.0,0.0,Neutral
20,2022-11-23 07:12:02+00:00,Aylaazari,@mikolee_jr @Sordique4K @instablog9ja 😂 e pain you sha,0,0,e pain you sha,0.0,0.0,Neutral
21,2022-11-22 09:38:14+00:00,Aylaazari,@mazpa_md Things,1,0,things,0.0,0.0,Neutral
22,2022-11-21 07:14:49+00:00,Aylaazari,@olobzjr @Toye_Jnr @demigodgeous Pink crocs o,4,0,pink crocs o,0.3,-0.1,Negative
24,2022-11-20 23:11:07+00:00,Aylaazari,@traysaayy The audacity of stupidity reeks.,0,0,audacity stupidity reeks,1.0,-0.6,Negative
25,2022-11-20 00:53:42+00:00,Aylaazari,Shanks baba https://t.co/GGCqhucy1z,0,0,shanks baba,0.0,0.0,Neutral
26,2022-11-20 00:46:59+00:00,Aylaazari,Gojoooooo https://t.co/7SmB3T2k5B,0,0,gojoooooo,0.0,0.0,Neutral
28,2022-11-19 23:09:02+00:00,Aylaazari,"@Thegrey8 @YungHusband_ Just did, why are ppl like this now 😩",1,0,just did why are ppl like this now,0.0,0.0,Neutral
29,2022-11-19 23:08:42+00:00,Aylaazari,@Thegrey8 Tag me 😩,1,0,tag me,0.0,0.0,Neutral
30,2022-11-19 23:08:31+00:00,Aylaazari,"Zoro would get it easily, anyday any time 😩 https://t.co/yfxdkp8TnY https://t.co/uFIZ23k53L",1,0,zoro would get it easily anyday any time,0.8333333333333334,0.43333333333333335,Positive
31,2022-11-19 23:06:36+00:00,Aylaazari,@Thegrey8 This ppl are crazy 😂,1,0,this ppl are crazy,0.9,-0.6,Negative
